,substanceid,name,reported_chemical_name,reported_casrn,INNEW
1,1,ca_surf_sediment,methoxychlor,NA,1
2,2,ca_surf_sediment,lindane (gamma-bhc),NA,1
3,3,ca_surf_sediment,chlorthal-dimethyl,NA,1
4,4,ca_surf_sediment,diazinon,NA,1
5,5,ca_surf_sediment,endosulfan,NA,1
6,6,ca_surf_sediment,chlorpyrifos,NA,1
7,7,ca_surf_sediment,methyl parathion,NA,1
8,8,ca_surf_sediment,dicofol,NA,1
9,9,ca_surf_sediment,dicamba,NA,1
10,10,ca_surf_sediment,"2,4-DB",NA,1
11,11,ca_surf_sediment,mcpp,NA,1
12,12,ca_surf_sediment,MCPA,NA,1
13,13,ca_surf_sediment,endosulfan sulfate,NA,1
14,14,ca_surf_sediment,endosulfan II,NA,1
15,15,ca_surf_sediment,oxadiazon,NA,1
16,16,ca_surf_sediment,fipronil sulfide,NA,1
17,17,ca_surf_sediment,fipronil sulfone,NA,1
18,18,ca_surf_sediment,desulfinyl fipronil amide,NA,1
19,19,ca_surf_sediment,fluridone,NA,1
20,20,ca_surf_sediment,pebulate,NA,1
21,21,ca_surf_sediment,pendimethalin,NA,1
22,22,ca_surf_sediment,eptc,NA,1
23,23,ca_surf_sediment,thiobencarb,NA,1
24,24,ca_surf_sediment,cycloate,NA,1
25,25,ca_surf_sediment,napropamide,NA,1
26,26,ca_surf_sediment,atrazine,NA,1
27,27,ca_surf_sediment,oxyfluorfen,NA,1
28,28,ca_surf_sediment,lambda cyhalothrin,NA,1
29,29,ca_surf_sediment,piperonyl butoxide,NA,1
30,30,ca_surf_sediment,methidathion,NA,1
31,31,ca_surf_sediment,phosmet,NA,1
32,32,ca_surf_sediment,simazine,NA,1
33,33,ca_surf_sediment,azinphos-methyl,NA,1
34,34,ca_surf_sediment,malathion,NA,1
35,35,ca_surf_sediment,molinate,NA,1
36,36,ca_surf_sediment,prometryn,NA,1
37,37,ca_surf_sediment,carbofuran,NA,1
38,38,ca_surf_sediment,hexazinone,NA,1
39,39,ca_surf_sediment,permethrin,NA,1
40,40,ca_surf_sediment,carbaryl,NA,1
41,41,ca_surf_sediment,esfenvalerate,NA,1
42,42,ca_surf_sediment,ethalfluralin,NA,1
43,43,ca_surf_sediment,butylate,NA,1
44,44,ca_surf_sediment,bifenthrin,NA,1
45,45,ca_surf_sediment,ethoprop,NA,1
46,46,ca_surf_sediment,coumaphos,NA,1
47,47,ca_surf_sediment,disulfoton,NA,1
48,48,ca_surf_sediment,sulprofos,NA,1
49,49,ca_surf_sediment,tetrachlorvinphos,NA,1
50,50,ca_surf_sediment,fenthion,NA,1
51,51,ca_surf_sediment,naled,NA,1
52,52,ca_surf_sediment,mevinphos,NA,1
53,53,ca_surf_sediment,phorate,NA,1
54,54,ca_surf_sediment,DDVP,NA,1
55,55,ca_surf_sediment,cypermethrin,NA,1
56,56,ca_surf_sediment,cyfluthrin,NA,1
57,57,ca_surf_sediment,diquat dibromide,NA,1
58,58,ca_surf_sediment,methoprene,NA,1
59,59,ca_surf_sediment,para-chloro-meta-cresol,NA,1
60,60,ca_surf_sediment,pentachlorophenol,NA,1
61,61,ca_surf_sediment,"1,4-dichlorobenzene (p-DCB0",NA,1
62,62,ca_surf_sediment,"2,4-xylenol",NA,1
63,63,ca_surf_sediment,fonofos,NA,1
64,64,ca_surf_sediment,sulfotep,NA,1
65,65,ca_surf_sediment,trichlorophon,NA,1
66,66,ca_surf_sediment,dimethoate,NA,1
67,67,ca_surf_sediment,fenitrothion,NA,1
68,68,ca_surf_sediment,deltamethrin,NA,1
69,69,ca_surf_sediment,ddt,NA,1
70,70,ca_surf_sediment,alpha BHC,NA,1
71,71,ca_surf_sediment,heptachlor,NA,1
72,72,ca_surf_sediment,ddd,NA,1
73,73,ca_surf_sediment,chlordane,NA,1
74,74,ca_surf_sediment,dieldrin,NA,1
75,75,ca_surf_sediment,endrin aldehyde,NA,1
76,76,ca_surf_sediment,dde,NA,1
77,77,ca_surf_sediment,endrin,NA,1
78,78,ca_surf_sediment,bhc (other than gamma isomer),NA,1
79,79,ca_surf_sediment,"chlordane, other",NA,1
80,80,ca_surf_sediment,s-cypermethrin,NA,1
81,81,ca_surf_sediment,fluvalinate,NA,1
82,82,ca_surf_sediment,trifluralin,NA,1
83,83,ca_surf_sediment,fenpropathrin,NA,1
84,84,ca_surf_sediment,alachlor,NA,1
85,85,ca_surf_sediment,metolachlor,NA,1
86,86,ca_surf_sediment,camphor,NA,1
87,87,ca_surf_sediment,prometon,NA,1
88,88,ca_surf_sediment,deet,NA,1
89,89,ca_surf_sediment,bromacil,NA,1
90,90,ca_surf_sediment,pcnb,NA,1
91,91,ca_surf_sediment,phenothrin,NA,1
92,92,ca_surf_sediment,allethrin,NA,1
93,93,ca_surf_sediment,chlorothalonil,NA,1
94,94,ca_surf_sediment,terbuthylazine,NA,1
95,95,ca_surf_sediment,resmethrin,NA,1
96,96,ca_surf_sediment,fipronil,NA,1
97,97,ca_surf_sediment,propiconazole,NA,1
98,98,ca_surf_sediment,iprodione,NA,1
99,99,ca_surf_sediment,tebuconazole,NA,1
100,100,ca_surf_sediment,myclobutanil,NA,1
101,101,ca_surf_sediment,propyzamide,NA,1
102,102,ca_surf_sediment,prallethrin,NA,1
103,103,ca_surf_sediment,tetramethrin,NA,1
104,104,ca_surf_sediment,fenarimol,NA,1
105,105,ca_surf_sediment,dimethomorph,NA,1
106,106,ca_surf_sediment,clomazone,NA,1
107,107,ca_surf_sediment,propanil,NA,1
108,108,ca_surf_sediment,triadimefon,NA,1
109,109,ca_surf_sediment,methamidophos,NA,1
110,110,ca_surf_sediment,"pyrethrins, other related",NA,1
111,111,ca_surf_sediment,pyrethrins,NA,1
