"source_id","reported_units","n","cleaned_units"
150,"µg/ft2",2,NA
150,"ng/cm2",51,NA
150,"ppm",4,NA
152,"µg/dL",16,NA
152,"µg/g creatinine",16,NA
152,"µg/L",432,NA
152,"ng/g lipid",1648,NA
152,"ng/L",144,NA
152,"ng/mL",288,NA
152,"pg/mL",72,NA
153,"ng/m3",452,NA
178,"ppb",672,NA
178,"ppm",80,NA
178,"ppt",2944,NA
193,"µg/kg",3362,NA
193,"µg/l",4713888,NA
193,"mg/kg",6391,NA
193,"mg/l",36529,NA
193,"mg/L",290,NA
193,"ng/l",628,NA
193,"pg/l",36,NA
194,"µg/g",36183,NA
194,"µg/g crt",220,NA
194,"µg/l",48924,NA
194,"µg/L",1084,NA
194,"mg/g",2247,NA
194,"mg/l",11502,NA
194,"ng/g",63151,NA
194,"ng/g lipid",4320,NA
194,"ng/l",2160,NA
194,"ng/L",5442,NA
194,"ng/mL",3910,NA
194,"ug/L",3618,NA
201,"mg/L",9298885,NA
222,"µg/g",3,NA
222,"µg/m3",101,NA
222,"ng/m3",146,NA
225,"absorbance units 10e-4 per meter",3,NA
225,"adducts per 10e8 nucleotides",11,NA
225,"adducts per 10e9 nucleotides",6,NA
225,"Air Quality Index",168,NA
225,"algorithm intensity score",12,NA
225,"asbestos bodies per gram",7,NA
225,"AUC55Mn:43Ca",13,NA
225,"becquerels per cubic meter",57,NA
225,"becquerels per kilogram",108,NA
225,"endotoxin units per cubic meter",94,NA
225,"endotoxin units per milligram",27,NA
225,"endotoxin units per square meter",2,NA
225,"estradiol equivalents, milligrams per person per day",10,NA
225,"estradiol equivalents, picomoles per milliliter",4,NA
225,"femtograms per cubic meter",2,NA
225,"femtograms per gram",3,NA
225,"femtograms per gram lipid",3,NA
225,"fibers per gram",6,NA
225,"free-base nicotine fraction",11,NA
225,"geometric mean ratio",112,NA
225,"grams",41,NA
225,"grams per 100 grams liquid",14,NA
225,"grams per day",91,NA
225,"grams per day per person",10,NA
225,"grams per deciliter",1,NA
225,"grams per gram creatinine",4,NA
225,"grams per hour",16,NA
225,"grams per kilogram",16,NA
225,"grams per liter",18,NA
225,"grams per megajoule",32,NA
225,"gray units",4,NA
225,"hazard quotient",102,NA
225,"hours",92,NA
225,"hours per day",6,NA
225,"incremental lifetime cancer risk",16,NA
225,"international units per day",22,NA
225,"international units per liter",2,NA
225,"kilobecquerels per square meter",37,NA
225,"kilograms",263,NA
225,"kilograms per hectacre",26,NA
225,"kilograms per hectare per year",180,NA
225,"kilograms per hour",2,NA
225,"kilograms per kilometer per day",8,NA
225,"lifetime average daily dose",8,NA
225,"lifetime average daily dose dioxin-like PCBs-toxic equivalency quotient",8,NA
225,"Manganese-55 to Calcium-43 area under the curve x 10e4",60,NA
225,"micrograms",405,NA
225,"micrograms inhaled per breath",12,NA
225,"micrograms per 100 square centimeters",6,NA
225,"micrograms per 10 puffs",23,NA
225,"micrograms per 15 puffs",27,NA
225,"micrograms per 24 hours",13,NA
225,"micrograms per 30 puffs",17,NA
225,"micrograms per cigarette",6,NA
225,"micrograms per cubic centimeter",6,NA
225,"micrograms per cubic meter",9745,NA
225,"micrograms per cubic meter per day",4,NA
225,"micrograms per cubic meter per hour",2,NA
225,"micrograms per cubic meter per kilogram active ingredient mixed",7,NA
225,"micrograms per cubic meter per minute",3,NA
225,"micrograms per cubic meter per N=C=O group",61,NA
225,"micrograms per cubic meter-years",4,NA
225,"micrograms per day",810,NA
225,"micrograms per day per kilogram body weight",293,NA
225,"micrograms per day per person",24,NA
225,"micrograms per deciliter",3446,NA
225,"micrograms per e-cigarette",3,NA
225,"micrograms per gram",7442,NA
225,"micrograms per gram creatinine",14665,NA
225,"micrograms per gram hemoglobin",31,NA
225,"micrograms per gram lipid",197,NA
225,"micrograms per hour",245,NA
225,"micrograms per kilogram",1169,NA
225,"micrograms per kilogram body weight-day",1,NA
225,"micrograms per kilogram body weight per day",1278,NA
225,"micrograms per kilogram body weight per week",77,NA
225,"micrograms per kilogram lipid",1881,NA
225,"micrograms per kilogram per day",516,NA
225,"micrograms per kilogram per month",28,NA
225,"micrograms per kilogram per year",64,NA
225,"micrograms per liter",32004,NA
225,"micrograms per liter per kilogram active ingredient mixed",7,NA
225,"micrograms per liter per year",4,NA
225,"micrograms per micromole creatinine",18,NA
225,"micrograms per milligram",15,NA
225,"micrograms per milligram creatinine",21,NA
225,"micrograms per milligram hemoglobin",1,NA
225,"micrograms per milliliter",188,NA
225,"micrograms per millimole creatine",33,NA
225,"micrograms per millimole creatinine",539,NA
225,"micrograms per normal cubic meter",6,NA
225,"micrograms per puff",261,NA
