source_name_abbr,CHEMICAL,reported_chemical_name,reported_casrn,X,substanceid,withoutparenthetical,parenthetical
usgs,,Gran acid neutralizing capacity,,NA,NA,Gran acid neutralizing capacity,
usgs,,"Chlorophyll a, uncorrected for pheophytin",,NA,NA,"Chlorophyll a, uncorrected for pheophytin",
usgs,1,Microcystin,,NA,NA,Microcystin,
usgs,1,Calcium carbonate,,NA,NA,Calcium carbonate,
usgs,,Dissolved oxygen saturation,,NA,NA,Dissolved oxygen saturation,
usgs,,Apparent color,,NA,NA,Apparent color,
usgs,,Tide stage,,NA,NA,Tide stage,
usgs,,Water appearance (text),,NA,NA,Water appearance ,text
usgs,,Weather comments (text),,NA,NA,Weather comments ,text
usgs,,Width,,NA,NA,Width,
usgs,,"Depth, bottom",,NA,NA,"Depth, bottom",
usgs,,Chlorophyll a (probe),,NA,NA,Chlorophyll a ,probe
usgs,,Dissolved gases - saturation,,NA,NA,Dissolved gases - saturation,
usgs,,Total Coliform,,NA,NA,Total Coliform,
usgs,,"Biomass, drift macroinvertebrates",,NA,NA,"Biomass, drift macroinvertebrates",
usgs,,Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],,NA,NA,Sodium adsorption ratio [/],Nasq root of 1/2 Ca + Mg
usgs,,Weather condition (WMO code 4501) (choice list),,NA,NA,Weather condition  ,WMO code 4501choice list
usgs,,Chlorophyll,,NA,NA,Chlorophyll,
usgs,,"Flow, stream stage (choice list)",,NA,NA,"Flow, stream stage ",choice list
usgs,,"RBP2, Habitat type, canopy (%)",,NA,NA,"RBP2, Habitat type, canopy ",%
usgs,,"RBP2, Habitat type, general comments",,NA,NA,"RBP2, Habitat type, general comments",
usgs,,Water level in relation to reference point,,NA,NA,Water level in relation to reference point,
usgs,,Cloud cover,,NA,NA,Cloud cover,
usgs,,"Wind direction (direction from, expressed 0-360 deg)",,NA,NA,Wind direction ,"direction from, expressed 0-360 deg"
usgs,,"Wind force, Beaufort scale",,NA,NA,"Wind force, Beaufort scale",
usgs,,"RBP2, Weather Condition, Heavy Rain in Last 7 Days, Y/N (choice list)",,NA,NA,"RBP2, Weather Condition, Heavy Rain in Last 7 Days, Y/N ",choice list
usgs,,"Flow, severity (choice list)",,NA,NA,"Flow, severity ",choice list
usgs,,Light attenuation coefficient,,NA,NA,Light attenuation coefficient,
usgs,1,"2,4-D-13C6",,NA,NA,"2,4-D-13C6",
usgs,1,Caffeine-trimethyl-13C3,,NA,NA,Caffeine-trimethyl-13C3,
usgs,1,Carbamazepine-d10,,NA,NA,Carbamazepine-d10,
usgs,1,Dimethachlor ESA,,NA,NA,Dimethachlor ESA,
usgs,1,Ibuprofen-13C3,,NA,NA,Ibuprofen-13C3,
usgs,1,Malathion-D10,,NA,NA,Malathion-D10,
usgs,,Chlorophyll a (probe relative fluorescence),,NA,NA,Chlorophyll a ,probe relative fluorescence
usgs,,"Light, transmissivity",,NA,NA,"Light, transmissivity",
usgs,,Water Pressure,,NA,NA,Water Pressure,
usgs,1,Alachlor OA,,NA,NA,Alachlor OA,
usgs,1,Bendiocarb,,NA,NA,Bendiocarb,
usgs,1,Imidacloprid,,NA,NA,Imidacloprid,
usgs,1,Metolachlor ESA,,NA,NA,Metolachlor ESA,
usgs,1,Metolachlor OA,,NA,NA,Metolachlor OA,
usgs,1,Monuron,,NA,NA,Monuron,
usgs,1,Tebuthiuron,,NA,NA,Tebuthiuron,
usgs,1,Thiamethoxam,,NA,NA,Thiamethoxam,
usgs,1,Butylated hydroxyanisole,,NA,NA,Butylated hydroxyanisole,
usgs,1,Caffeine,,NA,NA,Caffeine,
usgs,1,Nonylphenol,,NA,NA,Nonylphenol,
usgs,,Ionic strength,,NA,NA,Ionic strength,
usgs,,Sum of anions,,NA,NA,Sum of anions,
usgs,,Sum of cations,,NA,NA,Sum of cations,
usgs,,Cumulative Precipitation Since Last Measurement,,NA,NA,Cumulative Precipitation Since Last Measurement,
usgs,,Elapsed Time Since Last Measurement,,NA,NA,Elapsed Time Since Last Measurement,
usgs,,Secchi Reading Condition (choice list),,NA,NA,Secchi Reading Condition ,choice list
usgs,,Cloud cover (choice list),,NA,NA,Cloud cover ,choice list
usgs,,Wind Condition (choice list),,NA,NA,Wind Condition ,choice list
usgs,,Tide stage (choice list),,NA,NA,Tide stage ,choice list
usgs,,Velocity-discharge,,NA,NA,Velocity-discharge,
usgs,1,Atrazine-d5 (ethyl-d5),,NA,NA,Atrazine-d5 ,ethyl-d5
usgs,1,Bromoxynil-13C6,,NA,NA,Bromoxynil-13C6,
usgs,1,Pentachlorophenol-13C6,,NA,NA,Pentachlorophenol-13C6,
usgs,,Turbidity severity (choice list),,NA,NA,Turbidity severity ,choice list
usgs,,Anion/cation ratio,,NA,NA,Anion/cation ratio,
usgs,,"Specific Conductance, Calculated/Measured Ratio",,NA,NA,"Specific Conductance, Calculated/Measured Ratio",
usgs,,Stream width measure,,NA,NA,Stream width measure,
usgs,,"Aluminum, Organic + Inorganic Monomeric (reactive aluminum)",,NA,NA,"Aluminum, Organic + Inorganic Monomeric ",reactive aluminum
usgs,,"Chlorophyll a, free of pheophytin",,NA,NA,"Chlorophyll a, free of pheophytin",
usgs,,RBP Stream Velocity,,NA,NA,RBP Stream Velocity,
usgs,,Stream physical appearance (choice list),,NA,NA,Stream physical appearance ,choice list
usgs,,Light attenuation at measurement depth,,NA,NA,Light attenuation at measurement depth,
usgs,,Hydrograph limb (choice list),,NA,NA,Hydrograph limb ,choice list
usgs,,Habitat Type (choice list),,NA,NA,Habitat Type ,choice list
usgs,,Substrate Description (text),,NA,NA,Substrate Description ,text
usgs,,Velocity - stream,,NA,NA,Velocity - stream,
usgs,,Wind velocity,,NA,NA,Wind velocity,
usgs,,Soluble Reactive Phosphorus (SRP),,NA,NA,Soluble Reactive Phosphorus ,SRP
usgs,,Water level reference point elevation,,NA,NA,Water level reference point elevation,
usgs,,"Water level in well, depth from a reference point",,NA,NA,"Water level in well, depth from a reference point",
usgs,,"Precipitation, time since event",,NA,NA,"Precipitation, time since event",
usgs,1,Pheophytin a,,NA,NA,Pheophytin a,
usgs,,MBAS,,NA,NA,MBAS,
usgs,,"Transparency, tube with disk",,NA,NA,"Transparency, tube with disk",
usgs,1,Silicate,,NA,NA,Silicate,
usgs,1,Butachlor ESA,,NA,NA,Butachlor ESA,
usgs,1,Dimethachlor,,NA,NA,Dimethachlor,
usgs,1,Dimethenamid ESA,,NA,NA,Dimethenamid ESA,
usgs,1,Dimethenamid OA,,NA,NA,Dimethenamid OA,
usgs,1,Sulfometuron methyl,,NA,NA,Sulfometuron methyl,
usgs,,True color,,NA,NA,True color,
usgs,1,"Aluminum, Organic Monomeric (reactive aluminum)",,NA,NA,"Aluminum, Organic Monomeric ",reactive aluminum
usgs,1,Inorganic monomeric aluminum,,NA,NA,Inorganic monomeric aluminum,
usgs,,"Depth, Secchi disk depth (choice list)",,NA,NA,"Depth, Secchi disk depth ",choice list
usgs,,Tetraethyl pyrophosphate,,NA,NA,Tetraethyl pyrophosphate,
usgs,1,Trihalomethanes,,NA,NA,Trihalomethanes,
usgs,1,BDE-003,,NA,NA,BDE-003,
usgs,1,Hydroxide,,NA,NA,Hydroxide,
usgs,1,Petroleum phenols,,NA,NA,Petroleum phenols,
usgs,1,CFC-113a,,NA,NA,CFC-113a,
usgs,1,Halogen,,NA,NA,Halogen,
usgs,,"Alkalinity, Hydroxide",,NA,NA,"Alkalinity, Hydroxide",
usgs,,"Alkalinity, Phenolphthalein (total hydroxide+1/2 carbonate)",,NA,NA,"Alkalinity, Phenolphthalein ",total hydroxide+1/2 carbonate
usgs,1,Chlorate,,NA,NA,Chlorate,
usgs,1,Chlorite,,NA,NA,Chlorite,
usgs,1,Dinotefuran,,NA,NA,Dinotefuran,
usgs,1,Emamectin benzoate,,NA,NA,Emamectin benzoate,
usgs,1,Methoxyfenozide,,NA,NA,Methoxyfenozide,
usgs,1,Propoxycarbazone-sodium,,NA,NA,Propoxycarbazone-sodium,
usgs,1,Trifloxysulfuron-sodium,,NA,NA,Trifloxysulfuron-sodium,
usgs,1,Trinexapac-Ethyl,,NA,NA,Trinexapac-Ethyl,
usgs,1,Flonicamid,,NA,NA,Flonicamid,
usgs,1,Halofenozide,,NA,NA,Halofenozide,
usgs,1,Mecoprop-p (mcpp-p),,NA,NA,Mecoprop-p ,mcpp-p
usgs,1,Pymetrozine,,NA,NA,Pymetrozine,
usgs,1,Chlorotoluene,,NA,NA,Chlorotoluene,
usgs,1,tert-Amyl methyl ether,,NA,NA,tert-Amyl methyl ether,
usgs,1,"Fuel, Diesel Range (C10-C22)",,NA,NA,"Fuel, Diesel Range ",C10-C22
usgs,1,"Fuel, Diesel Range (C22-C32)",,NA,NA,"Fuel, Diesel Range ",C22-C32
usgs,,Stream Cross-Sectional Area,,NA,NA,Stream Cross-Sectional Area,
usgs,,Total hardness,,NA,NA,Total hardness,
usgs,,"Fuel, Gasoline Range (C6-C10)",,NA,NA,"Fuel, Gasoline Range ",C6-C10
usgs,1,"1,2,3-Trimethylbenzene",,NA,NA,"1,2,3-Trimethylbenzene",
usgs,1,Isopropyl ether,,NA,NA,Isopropyl ether,
usgs,1,"1,3-Dichloropropene",,NA,NA,"1,3-Dichloropropene",
usgs,,Deuterium/Hydrogen ratio,,NA,NA,Deuterium/Hydrogen ratio,
usgs,,Oxygen-18/Oxygen-16 ratio,,NA,NA,Oxygen-18/Oxygen-16 ratio,
usgs,,"Depth, data-logger (non-ported)",,NA,NA,"Depth, data-logger ",non-ported
usgs,,"Light attenuation, depth at 99%",,NA,NA,"Light attenuation, depth at 99%",
usgs,,"Biochemical oxygen demand, standard conditions",,NA,NA,"Biochemical oxygen demand, standard conditions",
usgs,,RBP Stream depth - pool,,NA,NA,RBP Stream depth - pool,
usgs,1,2-Phenyldecane,,NA,NA,2-Phenyldecane,
usgs,1,2-Phenyldodecane,,NA,NA,2-Phenyldodecane,
usgs,1,2-Phenyltetradecane,,NA,NA,2-Phenyltetradecane,
usgs,1,2-Phenyltridecane,,NA,NA,2-Phenyltridecane,
usgs,1,2-Phenylundecane,,NA,NA,2-Phenylundecane,
usgs,1,3-Phenyldecane,,NA,NA,3-Phenyldecane,
usgs,1,3-Phenyltetradecane,,NA,NA,3-Phenyltetradecane,
usgs,1,3-Phenyltridecane,,NA,NA,3-Phenyltridecane,
usgs,1,3-Phenylundecane,,NA,NA,3-Phenylundecane,
usgs,1,4-Phenyldecane,,NA,NA,4-Phenyldecane,
usgs,1,4-Phenyldodecane,,NA,NA,4-Phenyldodecane,
usgs,1,4-Phenyltetradecane,,NA,NA,4-Phenyltetradecane,
usgs,1,4-Phenyltridecane,,NA,NA,4-Phenyltridecane,
usgs,1,4-Phenylundecane,,NA,NA,4-Phenylundecane,
usgs,1,5-Phenyldecane,,NA,NA,5-Phenyldecane,
usgs,1,5-Phenyldodecane,,NA,NA,5-Phenyldodecane,
usgs,1,5-Phenyltetradecane,,NA,NA,5-Phenyltetradecane,
usgs,1,5-Phenyltridecane,,NA,NA,5-Phenyltridecane,
usgs,1,5-Phenylundecane,,NA,NA,5-Phenylundecane,
usgs,1,6-Phenyldodecane,,NA,NA,6-Phenyldodecane,
usgs,1,6-Phenyltetradecane,,NA,NA,6-Phenyltetradecane,
usgs,1,6-Phenylundecane,,NA,NA,6-Phenylundecane,
usgs,1,7-Phenyltetradecane,,NA,NA,7-Phenyltetradecane,
usgs,1,7-Phenyltetradecane + 6-phenyltridecane mix,,NA,NA,7-Phenyltetradecane + 6-phenyltridecane mix,
usgs,1,"Benzene, C6-12-alkyl derivs.",,NA,NA,"Benzene, C6-12-alkyl derivs.",
usgs,1,Naphthalene (C1-C4),,NA,NA,Naphthalene ,C1-C4
usgs,,"Carbonaceous biochemical oxygen demand, standard conditions",,NA,NA,"Carbonaceous biochemical oxygen demand, standard conditions",
usgs,,Nutrient-nitrogen,,NA,NA,Nutrient-nitrogen,
usgs,,Chlorophyll/Pheophytin ratio,,NA,NA,Chlorophyll/Pheophytin ratio,
usgs,,"Elevation, water surface, MSL",,NA,NA,"Elevation, water surface, MSL",
usgs,1,Oxygen-18,,NA,NA,Oxygen-18,
usgs,1,"2,6-Dichloro-4-methylphenol",,NA,NA,"2,6-Dichloro-4-methylphenol",
usgs,1,o-Ethyltoluene,,NA,NA,o-Ethyltoluene,
usgs,1,p-Ethyltoluene,,NA,NA,p-Ethyltoluene,
usgs,1,Organic Nitrogen,,NA,NA,Organic Nitrogen,
usgs,1,Azide,,NA,NA,Azide,
usgs,,"Light, photosynthetic active radiation (PAR)",,NA,NA,"Light, photosynthetic active radiation ",PAR
usgs,,Stream stage,,NA,NA,Stream stage,
usgs,,Chlorophyll b,,NA,NA,Chlorophyll b,
usgs,,Chlorophyll c,,NA,NA,Chlorophyll c,
usgs,,Fecal Streptococcus Group Bacteria,,NA,NA,Fecal Streptococcus Group Bacteria,
usgs,,"Light, photosynthetic active radiation at depth (PAR)",,NA,NA,"Light, photosynthetic active radiation at depth ",PAR
usgs,,"Light, underwater incident",,NA,NA,"Light, underwater incident",
usgs,,"Biomass, phytoplankton",,NA,NA,"Biomass, phytoplankton",
usgs,,"Flow, runoff",,NA,NA,"Flow, runoff",
usgs,,"Light, underwater extinction coefficient (K)",,NA,NA,"Light, underwater extinction coefficient ",K
usgs,1,"Acifluorfen, sodium salt",,NA,NA,"Acifluorfen, sodium salt",
usgs,1,Fenamiphos,,NA,NA,Fenamiphos,
usgs,1,Uranium-234/235/238,,NA,NA,Uranium-234/235/238,
usgs,,Current speed,,NA,NA,Current speed,
usgs,,Current direction,,NA,NA,Current direction,
usgs,1,Di(2-ethylhexyl) adipate,,NA,NA,Di adipate,2-ethylhexyl
usgs,1,2-Choro-6-ethylamino-4-amino-s-triazine,,NA,NA,2-Choro-6-ethylamino-4-amino-s-triazine,
usgs,,Fixed suspended solids,,NA,NA,Fixed suspended solids,
usgs,1,Butachlor,,NA,NA,Butachlor,
usgs,1,Methyl paraoxon,,NA,NA,Methyl paraoxon,
usgs,1,Chlorpropham,,NA,NA,Chlorpropham,
usgs,1,Tricyclazole,,NA,NA,Tricyclazole,
usgs,1,Chlorobenzilate,,NA,NA,Chlorobenzilate,
usgs,1,Terbacil,,NA,NA,Terbacil,
usgs,1,Vernolate,,NA,NA,Vernolate,
usgs,1,Oxydisulfoton,,NA,NA,Oxydisulfoton,
usgs,1,Etridiazole,,NA,NA,Etridiazole,
usgs,1,Fluridone,,NA,NA,Fluridone,
usgs,1,Diphenamid,,NA,NA,Diphenamid,
usgs,,Cations-Anions,,NA,NA,Cations-Anions,
usgs,,Reservoir volume,,NA,NA,Reservoir volume,
usgs,,Surface area,,NA,NA,Surface area,
usgs,,Volatile suspended solids,,NA,NA,Volatile suspended solids,
usgs,,Substrate - claypan soil,,NA,NA,Substrate - claypan soil,
usgs,,"Substrate - sand, coarse",,NA,NA,"Substrate - sand, coarse",
usgs,,Osmotic pressure,,NA,NA,Osmotic pressure,
usgs,,Beta particle,,NA,NA,Beta particle,
usgs,,Alpha particle,,NA,NA,Alpha particle,
usgs,,"RBP2, Weather Condition, Now (choice list)",,NA,NA,"RBP2, Weather Condition, Now ",choice list
usgs,,Pheophytin ratio,,NA,NA,Pheophytin ratio,
usgs,,Water,,NA,NA,Water,
usgs,,"Phosphorus, Particulate Organic",,NA,NA,"Phosphorus, Particulate Organic",
usgs,,Settleable solids,,NA,NA,Settleable solids,
usgs,1,Chlorine,,NA,NA,Chlorine,
usgs,,"Carbonaceous biochemical oxygen demand, non-standard conditions",,NA,NA,"Carbonaceous biochemical oxygen demand, non-standard conditions",
usgs,,Fixed dissolved solids,,NA,NA,Fixed dissolved solids,
usgs,,Chloromethyl methyl ether,,NA,NA,Chloromethyl methyl ether,
usgs,,Sea waves severity (choice list),,NA,NA,Sea waves severity ,choice list
usgs,,Pressure,,NA,NA,Pressure,
usgs,1,Hentriacontane,,NA,NA,Hentriacontane,
usgs,1,Heptacosane,,NA,NA,Heptacosane,
usgs,1,Tritriacontane,,NA,NA,Tritriacontane,
usgs,1,C35 Hydrocarbons,,NA,NA,C35 Hydrocarbons,
usgs,1,Nonacosane,,NA,NA,Nonacosane,
usgs,1,Nonadecane,,NA,NA,Nonadecane,
usgs,1,Pentacosane,,NA,NA,Pentacosane,
usgs,1,Pentadecane,,NA,NA,Pentadecane,
usgs,1,Phytane,,NA,NA,Phytane,
usgs,1,Pristane,,NA,NA,Pristane,
usgs,1,Tetratriacontane,,NA,NA,Tetratriacontane,
usgs,1,Tridecane,,NA,NA,Tridecane,
usgs,1,Undecane,,NA,NA,Undecane,
usgs,,RBP Substrate - Gravel 2-64 mm,,NA,NA,RBP Substrate - Gravel 2-64 mm,
usgs,,RBP Substrate - Muck/Mud - Very Fine Particles,,NA,NA,RBP Substrate - Muck/Mud - Very Fine Particles,
usgs,,RBP Substrate - Sand 0.06-2.0 mm,,NA,NA,RBP Substrate - Sand 0.06-2.0 mm,
usgs,,Precipitation 24hr prior to monitoring event amount,,NA,NA,Precipitation 24hr prior to monitoring event amount,
usgs,,Water level (probe),,NA,NA,Water level ,probe
usgs,,"Elevation, groundwater surface, MSL",,NA,NA,"Elevation, groundwater surface, MSL",
usgs,,Resistivity,,NA,NA,Resistivity,
usgs,1,Isoxaben,,NA,NA,Isoxaben,
usgs,,Specific UV Absorbance at 254 nm,,NA,NA,Specific UV Absorbance at 254 nm,
usgs,1,"1,4-Dichlorobenzene-d4",,NA,NA,"1,4-Dichlorobenzene-d4",
usgs,1,Dichlorobenzene,,NA,NA,Dichlorobenzene,
usgs,1,Dibromoacetic acid,,NA,NA,Dibromoacetic acid,
usgs,1,Dibromodichloromethane,,NA,NA,Dibromodichloromethane,
usgs,1,Bromochloroacetic acid,,NA,NA,Bromochloroacetic acid,
usgs,1,Phosalone,,NA,NA,Phosalone,
usgs,1,Organic phosphorus,,NA,NA,Organic phosphorus,
usgs,,Density as sigma-t,,NA,NA,Density as sigma-t,
usgs,,Extract volume,,NA,NA,Extract volume,
usgs,,Initial sample volume,,NA,NA,Initial sample volume,
usgs,,"Light, path",,NA,NA,"Light, path",
usgs,,Optical density,,NA,NA,Optical density,
usgs,,Particulate organic carbon,,NA,NA,Particulate organic carbon,
usgs,,Particulate Organic Nitrogen and Particulate Nitrogen,,NA,NA,Particulate Organic Nitrogen and Particulate Nitrogen,
usgs,1,Total Sulfate,,NA,NA,Total Sulfate,
usgs,,Particulate Inorganic Carbon,,NA,NA,Particulate Inorganic Carbon,
usgs,,Total Kjeldahl nitrogen,,NA,NA,Total Kjeldahl nitrogen,
usgs,,Particulate Inorganic Phosphorus,,NA,NA,Particulate Inorganic Phosphorus,
usgs,,Venice Salinity Category (choice list),,NA,NA,Venice Salinity Category ,choice list
usgs,1,Urea,,NA,NA,Urea,
usgs,1,Amitriptyline,,NA,NA,Amitriptyline,
usgs,1,Benzoylecgonine hydrate,,NA,NA,Benzoylecgonine hydrate,
usgs,1,Carbamazepine,,NA,NA,Carbamazepine,
usgs,1,Cocaine,,NA,NA,Cocaine,
usgs,1,Dehydronifedipine,,NA,NA,Dehydronifedipine,
usgs,1,Diltiazem,,NA,NA,Diltiazem,
usgs,1,Erythromycin-H20,,NA,NA,Erythromycin-H20,
usgs,1,"Ethanamine, 2-(diphenylmethoxy)-N,N-dimethyl-",,NA,NA,"Ethanamine, 2--N,N-dimethyl-",diphenylmethoxy
usgs,1,Gemfibrozil,,NA,NA,Gemfibrozil,
usgs,1,Meprobamate,,NA,NA,Meprobamate,
