"name","reported_chemical_name","reported_casrn"
"chem_theatre","PCBs",""
"chem_theatre","TBT","36643-28-4"
"chem_theatre","DBT","1191-48-6"
"chem_theatre","MBT","2406-65-7"
"chem_theatre","BTs",""
"chem_theatre","TPT","668-34-8"
"chem_theatre","DPT","1011-95-6"
"chem_theatre","PTs",""
"chem_theatre","TOT","250252-89-2"
"chem_theatre","DOT","60004-29-7"
"chem_theatre","MOT","15231-57-9"
"chem_theatre","octyltins",""
"chem_theatre","PCB4+PCB10",""
"chem_theatre","PCB8","34883-43-7"
"chem_theatre","PCB19","38444-73-4"
"chem_theatre","PCB22","38444-85-8"
"chem_theatre","PCB28","7012-37-5"
"chem_theatre","PCB33","38444-86-9"
"chem_theatre","PCB37","38444-90-5"
"chem_theatre","PCB44","41464-39-5"
"chem_theatre","PCB49","41464-40-8"
"chem_theatre","PCB52","35693-99-3"
"chem_theatre","PCB54","15968-05-5"
"chem_theatre","PCB70","32598-11-1"
"chem_theatre","PCB74","32690-93-0"
"chem_theatre","PCB77","32598-13-3"
"chem_theatre","PCB81","70362-50-4"
"chem_theatre","PCB87","38380-02-8"
"chem_theatre","PCB95","38379-99-6"
"chem_theatre","PCB99","38380-01-7"
"chem_theatre","PCB101","37680-73-2"
"chem_theatre","PCB104","56558-16-8"
"chem_theatre","PCB105","32598-14-4"
"chem_theatre","PCB110","38380-03-9"
"chem_theatre","PCB114","74472-37-0"
"chem_theatre","PCB118","31508-00-6"
"chem_theatre","PCB119","56558-17-9"
"chem_theatre","PCB123","65510-44-3"
"chem_theatre","PCB126","57465-28-8"
"chem_theatre","PCB128","38380-07-3"
"chem_theatre","PCB138","35065-28-2"
"chem_theatre","PCB149","38380-04-0"
"chem_theatre","PCB151","52663-63-5"
"chem_theatre","PCB153","35065-27-1"
"chem_theatre","PCB155","33979-03-2"
"chem_theatre","PCB156","38380-08-4"
"chem_theatre","PCB157","69782-90-7"
"chem_theatre","PCB158","74472-42-7"
"chem_theatre","PCB167","52663-72-6"
"chem_theatre","PCB168","59291-65-5"
"chem_theatre","PCB169","32774-16-6"
"chem_theatre","PCB170","35065-30-6"
"chem_theatre","PCB171","52663-71-5"
"chem_theatre","PCB177","52663-70-4"
"chem_theatre","PCB178","52663-67-9"
"chem_theatre","PCB180","35065-29-3"
