,DSSTox_Source_Record_Id,external_id,reported_chemical_name,reported_casrn,DSSTox_Substance_Id,Substance_Name,Substance_CASRN,Substance_Type,Structure_InChIKey,Structure_Formula
1,DTXRID2016336780,ahhs-1,allethrin,NA,DTXSID8035180,Allethrin,584-79-2,Mixture of Stereoisomers,ZCVAOQKBXKSDMS-UHFFFAOYNA-N,C19H26O3
2,DTXRID0016336781,ahhs-2,alpha-chlordane,NA,DTXSID6038326,cis-Chlordane,5103-71-9,Mixture of Stereoisomers,BIWJNBZANLAXMG-VNWFLXDMNA-N,C10H6Cl8
3,DTXRID8016336782,ahhs-3,Arsenic,NA,DTXSID4023886,Arsenic,7440-38-2,Single Compound,RQNWIZPPADIBDY-UHFFFAOYSA-N,As
4,DTXRID6016336783,ahhs-4,bifenthrin,NA,DTXSID9020160,Bifenthrin,82657-04-3,Mixture of Stereoisomers,OMFRMAHOUUJSGP-KLUXTTGUNA-N,C23H22ClF3O2
5,DTXRID4016336784,ahhs-5,chlorpyrifos,NA,DTXSID4020458,Chlorpyrifos,2921-88-2,Single Compound,SBPBAQFWLVIOKP-UHFFFAOYSA-N,C9H11Cl3NO3PS
6,DTXRID2016336785,ahhs-6,cis-permethrin,NA,DTXSID0038338,(+/-)-cis-Permethrin,61949-76-6,Mixture of Stereoisomers,RLLPVAHGXHCWKJ-NJPLCYPENA-N,C21H20Cl2O3
7,DTXRID0016336786,ahhs-7,cyfluthrin,NA,DTXSID5035957,Cyfluthrin,68359-37-5,Mixture of Stereoisomers,QQODLKZGRKWIFG-UHFFFAOYNA-N,C22H18Cl2FNO3
8,DTXRID8016336787,ahhs-8,cypermethrin,NA,DTXSID1023998,Cypermethrin,52315-07-8,Mixture of Stereoisomers,KAATUXNTWXVJKI-UHFFFAOYNA-N,C22H19Cl2NO3
9,DTXRID6016336788,ahhs-9,deltamethrin,NA,DTXSID8020381,Deltamethrin,52918-63-5,Single Compound,OWZREIFADZCYQD-NSHGMRRFSA-N,C22H19Br2NO3
10,DTXRID4016336789,ahhs-10,diazinon,NA,DTXSID9020407,Diazinon,333-41-5,Single Compound,FHIVAFMUCKRCQO-UHFFFAOYSA-N,C12H21N2O3PS
11,DTXRID9016336790,ahhs-11,esfenvalerate,NA,DTXSID4032667,Esfenvalerate,66230-04-4,Single Compound,NYPJDWWKZLNGGM-RPWUZVMVSA-N,C25H22ClNO3
12,DTXRID7016336791,ahhs-12,fenpropathrin,NA,DTXSID0024002,Fenpropathrin,39515-41-8,Single Compound,XQUXKZZNEFRCAW-UHFFFAOYNA-N,C22H23NO3
13,DTXRID5016336792,ahhs-13,fipronil,NA,DTXSID4034609,Fipronil,120068-37-3,Single Compound,ZOCSXAVNDGMNBV-UHFFFAOYNA-N,C12H4Cl2F6N4OS
14,DTXRID3016336793,ahhs-14,gamma-chlordane,NA,DTXSID4038346,trans-Chlordane,5103-74-2,Single Compound,BIWJNBZANLAXMG-GHZVNRKFNA-N,C10H6Cl8
15,DTXRID1016336794,ahhs-15,heptachlor,NA,DTXSID3020679,Heptachlor,76-44-8,Single Compound,FRCCEHPWNOQAEU-UHFFFAOYNA-N,C10H5Cl7
16,DTXRID9016336795,ahhs-16,imiprothrin,NA,DTXSID8034669,Imiprothrin,72963-72-5,Mixture of Stereoisomers,VPRAQYXPZIFIOH-UHFFFAOYNA-N,C17H22N2O4
17,DTXRID7016336796,ahhs-17,lambda-cyhalothrin,NA,DTXSID7032559,<U+03BB>-Cyhalothrin,91465-08-6,Mixture of Stereoisomers,ZXQYGBMAQZUVMI-VGISDWQONA-N,C23H19ClF3NO3
18,DTXRID5016336797,ahhs-18,Lead,NA,DTXSID2024161,Lead,7439-92-1,Single Compound,WABPQHHGFIMREM-UHFFFAOYSA-N,Pb
19,DTXRID3016336798,ahhs-19,malathion,NA,DTXSID4020791,Malathion,121-75-5,Mixture of Stereoisomers,JXSJBGJIGXNWCI-UHFFFAOYNA-N,C10H19O6PS2
20,DTXRID1016336799,ahhs-20,"p,p\x92-DDE",NA,DTXSID9020374,"p,p'-DDE",72-55-9,Single Compound,UCNVFOCBFJOQAL-UHFFFAOYSA-N,C14H8Cl4
21,DTXRID2016336800,ahhs-21,"p,p\x92-DDT",NA,DTXSID4020375,DDT,50-29-3,Single Compound,YVGGHNCTFXOJCH-UHFFFAOYSA-N,C14H9Cl5
22,DTXRID0016336801,ahhs-22,piperonyl butoxide,NA,DTXSID1021166,Piperonyl butoxide,51-03-6,Single Compound,FIPWRIJSWJWJAI-UHFFFAOYSA-N,C19H30O5
23,DTXRID8016336802,ahhs-23,prallethrin,NA,DTXSID0032572,Prallethrin,23031-36-9,Mixture of Stereoisomers,SMKRKQBMYOFFMU-UHFFFAOYNA-N,C19H24O3
24,DTXRID6016336803,ahhs-24,pyrethrin I,NA,DTXSID4034499,Pyrethrin I,121-21-1,Single Compound,ROVGZAWFACYCSP-VUMXUWRFSA-N,C21H28O3
25,DTXRID4016336804,ahhs-25,pyrethrin II,NA,DTXSID2042353,Pyrethrin II,121-29-9,Single Compound,VJFUPGQZSXIULQ-XIGJTORUSA-N,C22H28O5
26,DTXRID2016336805,ahhs-26,resmethrin,NA,DTXSID7022253,Resmethrin,10453-86-8,Mixture of Stereoisomers,VEMKTZHHVJILDY-UHFFFAOYNA-N,C22H26O3
