name,reported_media,harmonized_media
chem_theatre,gaseous phase,ambient air
chem_theatre,outdoor air,ambient air
ctd,air,ambient air
ctd,"air, ambient",ambient air
ctd,"air, outdoor",ambient air
usgs_tissue,phalacrocorax auritus,wildlife (birds)
ctd,"milk, human",breast milk
ctd,"water, drinking",drinking water
ctd,"water, drinking, bottled",drinking water
ctd,"water, tap",drinking water
fda,"bottled drinking water (mineral/spring), not carbonated or flavored",drinking water
ctd,"water, cooking",drinking water
ctd,fish,wildlife (fish)
ctd,food,food product
fda,"apple juice, bottled",food product
fda,"applesauce, bottled",food product
fda,"apricots, canned in heavy/light syrup",food product
fda,"bagel, plain, toasted",food product
fda,"beef roast, chuck, oven-roasted",food product
fda,"beef steak, loin/sirloin, broiled",food product
fda,"beef stroganoff w/ noodles, homemade",food product
fda,"beef w/ vegetables in sauce, from chinese carry-out",food product
fda,"beef, ground, regular, pan-cooked",food product
fda,beer,food product
fda,"beets, canned",food product
fda,"bf, apples with berries",food product
fda,"bf, apples with berries",food product
fda,"bf, apples with fruit other than berries",food product
fda,"bf, applesauce",food product
fda,"bf, apricots w/ mixed fruit",food product
fda,"bf, apricots w/ mixed fruit",food product
fda,"bf, arrowroot cookies",food product
fda,"bf, arrowroot cookies",food product
fda,"bf, banana dessert",food product
fda,"bf, banana dessert",food product
fda,"bf, bananas",food product
fda,"bf, bananas and pineapple",food product
fda,"bf, bananas and pineapple",food product
fda,"bf, beef and broth/gravy",food product
fda,"bf, beef and noodles/beef stroganoff",food product
fda,"bf, beef and noodles/beef stroganoff",food product
fda,"bf, carrots",food product
fda,"bf, cereal, barley, dry, prep w/ water",food product
fda,"bf, cereal, barley, dry, prep w/ water",food product
fda,"bf, cereal, mixed, dry, prep w/ water",food product
fda,"bf, cereal, mixed, dry, prep w/ water",food product
fda,"bf, cereal, oatmeal w/ fruit, prep w/ water",food product
fda,"bf, cereal, oatmeal w/ fruit, prep w/ water",food product
fda,"bf, cereal, oatmeal, dry, prep w/ water",food product
fda,"bf, cereal, rice w/apples, dry, prep w/ water",food product
fda,"bf, cereal, rice, dry, prep w/ water",food product
fda,"bf, chicken and broth/gravy",food product
fda,"bf, chicken noodle dinner",food product
fda,"bf, chicken w/ rice",food product
fda,"bf, chicken w/ rice",food product
fda,"bf, custard/pudding",food product
fda,"bf, dutch apple/apple cobbler",food product
fda,"bf, fruit dessert/pudding",food product
fda,"bf, fruit yogurt dessert",food product
fda,"bf, fruit yogurt dessert",food product
fda,"bf, green beans",food product
fda,"infant formula, milk-based, high iron, rtf",food product
fda,"bf, infant formula, milk-based, high iron, rtf",food product
fda,"infant formula, milk-based, low iron, rtf",food product
fda,"bf, infant formula, milk-based, high iron, rtf",food product
fda,"bf, infant formula, milk-based, iron fortified, rtf",food product
fda,"bf, infant formula, milk-based, iron fortified, rtf",food product
fda,"bf, infant formula, milk-based, low iron, rtf",food product
fda,"bf, infant formula, soy-based, rtf",food product
fda,"bf, juice, apple",food product
fda,"bf, juice, apple-banana",food product
fda,"bf, juice, apple-banana",food product
fda,"bf, juice, apple-cherry",food product
fda,"bf, juice, apple-cherry",food product
fda,"bf, juice, apple-grape",food product
fda,"bf, juice, apple-grape",food product
fda,"bf, juice, grape",food product
fda,"bf, juice, grape",food product
fda,"bf, juice, mixed fruit",food product
fda,"bf, juice, mixed fruit",food product
fda,"bf, juice, orange",food product
fda,"bf, juice, pear",food product
fda,"bf, juice, pear",food product
fda,"bf, lamb and broth/gravy",food product
fda,"bf, macaroni and cheese",food product
fda,"bf, macaroni and cheese",food product
fda,"bf, macaroni, tomato and beef",food product
fda,"bf, mixed vegetables",food product
fda,"bf, peach cobbler/dessert",food product
fda,"bf, peach cobbler/dessert",food product
fda,"bf, peaches",food product
fda,"bf, pears",food product
fda,"bf, pears and pineapple",food product
fda,"bf, pears and pineapple",food product
fda,"bf, peas",food product
fda,"bf, plums/prunes w/ apples or pears",food product
fda,"bf, plums/prunes w/ apples or pears",food product
fda,"bf, plums/prunes w/apples or pears",food product
fda,"bf, squash",food product
fda,"bf, sweet potatoes",food product
fda,"bf, teething biscuits",food product
fda,"bf, turkey and  rice",food product
fda,"bf, turkey and rice",food product
fda,"bf, turkey and broth/gravy",food product
fda,"bf, veal and broth/gravy",food product
fda,"bf, vegetables and beef",food product
fda,"bf, vegetables and chicken",food product
fda,"bf, vegetables and ham",food product
fda,"bf, vegetables and turkey",food product
fda,"bf, vegetables and turkey",food product
fda,"bf, zweiback toast",food product
fda,"bf, zweiback toast",food product
fda,bf. apples with berries,food product
fda,"biscuits, refrigerated-type, baked",food product
fda,black olives,food product
fda,bologna (beef/pork),food product
fda,"bread, cracked wheat",food product
fda,"bread, multigrain",food product
fda,"bread, rye",food product
fda,"bread, white, enriched",food product
fda,"bread, whole wheat",food product
fda,breakfast tart/toaster pastry,food product
fda,"brown gravy, canned or bottled",food product
fda,brownie,food product
fda,"burrito w/ beef, beans and cheese, from mexican carry-out",food product
fda,"butter, regular (not lowfat)",food product
fda,"butter, regular (not lowfat), salted",food product
fda,"cake, chocolate w/ icing",food product
fda,"cake, white w/ icing (formerly yellow cake)",food product
fda,"cake, white w/ icing",food product
fda,"cake, yellow w/ icing",food product
fda,"candy bar, chocolate, nougat, and nuts",food product
fda,"candy bar, milk chocolate, plain",food product
fda,"candy, hard, any flavor",food product
fda,"carbonated beverage, cola, low-calorie",food product
fda,"carbonated beverage, cola, regular",food product
fda,"carbonated beverage, fruit-flavored, regular",food product
fda,"catfish, pan-cooked w/ oil",food product
fda,"cheese, american, processed",food product
fda,"cheese, cheddar, natural (sharp/mild)",food product
fda,"cheese, swiss, natural",food product
fda,"chicken breast, fried, fast-food (w/ skin)",food product
fda,"chicken breast, oven-roasted (skin removed)",food product
fda,"chicken filet (broiled) sandwich on bun, fast-food",food product
fda,"chicken leg, fried, fast-food (w/ skin)",food product
fda,"chicken leg, fried, fast-food  (w/ skin)",food product
fda,"chicken nuggets, fast-food",food product
fda,"chicken potpie, frozen, heated",food product
fda,"chicken thigh, oven-roasted (skin removed)",food product
fda,"chicken w/ vegetables in sauce, from chinese carry-out",food product
fda,"chili con carne w/ beans, canned",food product
fda,chocolate chip cookies,food product
fda,"clam chowder, new england, canned, cond, prep w/ whl milk",food product
fda,"coffee, decaffeinated, from ground",food product
fda,"coffee, from ground",food product
fda,"coleslaw, mayonnaise-type, from grocery/deli",food product
fda,corn flakes cereal,food product
fda,"corn, canned",food product
fda,"corn/hominy grits, enriched, cooked",food product
fda,corn/tortilla chips,food product
fda,"cornbread, homemade",food product
fda,"cottage cheese, creamed, lowfat (2% milk fat)",food product
fda,"crackers, butter-type",food product
fda,"crackers, graham",food product
fda,"crackers, saltine",food product
fda,"cranberry juice cocktail, canned/bottled",food product
fda,cream cheese,food product
fda,"cream of wheat (farina), enriched, cooked",food product
fda,"cream substitute, non-diary, liquid/frozen",food product
fda,"cream substitute, non-dairy, liquid/frozen",food product
fda,"cream, half & half",food product
fda,crisped rice cereal,food product
fda,dill cucumber pickles,food product
fda,"doughnut, cake-type, any flavor, from donut store",food product
fda,"egg, cheese, and ham on english muffin, fast-food",food product
fda,"eggs, boiled",food product
fda,"eggs, scrambled w/ oil",food product
fda,"english muffin, plain, toasted",food product
fda,"fish sandwich on bun, fast-food",food product
fda,"fish sticks or patty, frozen, oven-cooked",food product
fda,"frankfurter (beef/pork), boiled",food product
fda,"french fries, fast-food",food product
fda,"fried rice, meatless, from chinese carry-out",food product
fda,"fruit cocktail, canned in light syrup",food product
fda,"fruit drink (10% juice), canned or bottled",food product
fda,"fruit drink, from powder",food product
fda,"fruit juice blend (100% juice), canned/bottled",food product
fda,"fruit-flavored cereal, presweetened",food product
fda,"gelatin dessert, any flavor",food product
fda,"granola bar, w/ raisins",food product
fda,granola w/ raisins,food product
fda,"grape juice, frozen conc, reconstituted",food product
fda,"grapefruit juice, bottled",food product
fda,"green beans, canned",food product
fda,"ham, cured (not canned), baked",food product
fda,honey,food product
fda,"ice cream, light, vanilla",food product
fda,"ice cream, regular (not lowfat), vanilla",food product
fda,"bf, infant formula, milk-based, high iron, rtf",food product
fda,"infant formula, soy-based, rtf",food product
fda,"jelly, any flavor",food product
fda,"lamb chop, pan-cooked w/ oil",food product
fda,"lasagna w/ meat, frozen, heated",food product
fda,"lemonade, frozen conc, reconstituted",food product
fda,"liver (beef/calf), pan-cooked w/ oil",food product
fda,luncheon meat (chicken/turkey),food product
fda,"luncheon meat, ham",food product
fda,luncheon meat (ham),food product
fda,"macaroni and cheese, prepared from box mix",food product
fda,"macaroni salad, from grocery/deli",food product
fda,"margarine, regular (not lowfat), salted",food product
fda,"mayonnaise, regular, bottled",food product
fda,"meal replacement, liquid rtd, any flavor",food product
fda,"meatloaf, beef, homemade",food product
fda,"milk shake, chocolate, fast-food",food product
fda,"product-rte-fully cooked, sausage products",food product
fda,"muffin, fruit or plain",food product
fda,"mustard, yellow, plain",food product
fda,"noodles, egg, enriched, boiled",food product
fda,oat ring cereal,food product
fda,"oatmeal, plain, cooked",food product
fda,olive oil,food product
fda,"orange juice, bottled/carton",food product
fda,"orange juice, frozen conc, reconstituted",food product
fda,"pancakes, frozen, heated",food product
fda,"peach, canned in light/medium syrup",food product
fda,"peanut butter, creamy",food product
fda,"peanut butter, smooth/creamy",food product
fda,"peanuts, dry roasted, salted",food product
fda,"pear, canned in light syrup",food product
fda,"pie, apple, fresh/frozen",food product
fda,"pie, pumpkin, fresh/frozen",food product
fda,"pineapple juice, frozen conc, reconstituted",food product
fda,"pineapple, canned in juice",food product
fda,"pinto beans, dry, boiled",food product
fda,"pizza, cheese and pepperoni, regular crust, from pizza carry-out",food product
fda,"popcorn, microwave, butter-flavored",food product
fda,"popsicle, fruit-flavored",food product
fda,"pork and beans, canned",food product
fda,"pork bacon, oven-cooked",food product
fda,"pork chop, pan-cooked w/ oil",food product
fda,"pork roast, loin, oven-roasted",food product
fda,"pork sausage (link/patty), oven-cooked",food product
fda,"pork sausage, (link/patty) oven-cooked",food product
fda,"pork sausage, (link/patty) oven-cooked",food product
fda,"pork sausage, (link/patty) oven-cooked",food product
fda,potato chips,food product
fda,"potato salad, mayonnaise-type, from grocery/deli",food product
fda,"potato, boiled (w/out peel)",food product
fda,"potato, mashed, prepared from fresh",food product
fda,"potatoes, mashed, prepared from fresh",food product
fda,"pretzels, hard, salted",food product
fda,"prune juice, bottled",food product
fda,"pudding, ready-to-eat, flavor other than chocolate",food product
fda,"quarter-pound cheeseburger on bun, fast-food",food product
fda,"quarter-pound hamburger on bun, fast-food",food product
fda,raisin bran cereal,food product
fda,"refried beans, canned",food product
fda,"rice, white, enriched, cooked",food product
fda,"salad dressing, creamy/buttermilk type, low-calorie",food product
fda,"salad dressing, creamy/buttermilk type, regular",food product
fda,"salad dressing, italian, regular",food product
fda,"salami, luncheon-meat type (not hard)",food product
fda,"salmon, steaks/fillets, baked",food product
fda,sandwich cookies w/ cr?me filling,food product
fda,sandwich cookies w/ creme filling,food product
fda,"sherbet, fruit-flavored",food product
fda,shredded wheat cereal,food product
fda,"shrimp, boiled",food product
fda,"soup, bean w/ bacon/pork, canned, cond, prep w/ water",food product
fda,"soup, chicken noodle, canned, cond, prep w/ water",food product
fda,"soup, oriental noodles (ramen noodles), prep w/ water",food product
fda,"soup, tomato, canned, cond, prep w/ water",food product
fda,"soup, vegetable beef, canned, cond, prep w/ water",food product
fda,sour cream,food product
fda,"sour cream dip, any flavor",food product
fda,"spaghetti w/ meat sauce, homemade",food product
fda,"spaghetti, enriched, boiled",food product
fda,"stew, beef and vegetable, canned",food product
fda,sugar cookies,food product
fda,"sugar, white, granulated",food product
fda,"sunflower seeds (shelled), roasted, salted",food product
fda,sweet & sour sauce,food product
fda,"sweet potatoes, canned",food product
fda,sweet roll/danish pastry,food product
fda,"syrup, chocolate",food product
fda,"syrup, pancake",food product
fda,"taco/tostada w/ beef and cheese, from mexican carry-out",food product
fda,"tea, decaffeinated, from tea bag",food product
fda,"tea, from tea bag",food product
fda,tomato catsup,food product
fda,"tomato juice, bottled",food product
fda,"tomato salsa, bottled",food product
fda,"tomato sauce, plain, bottled",food product
fda,"tortilla, flour",food product
fda,"tuna noodle casserole, homemade",food product
fda,"tuna, canned in water, drained",food product
fda,"turkey breast, oven-roasted",food product
fda,"turnip, fresh/frozen, boiled",food product
fda,vegetable oil,food product
fda,"white beans, dry, boiled",food product
fda,"wine, dry table, red/ white",food product
fda,"yogurt, lowfat, fruit-flavored",food product
epa_nrp,"product-nrte-ground, comminuted or otherwise nonintact meat",food product
epa_nrp,product-raw-intact-beef,food product
epa_nrp,"product-rte-other fully cooked, not sliced",food product
epa_nrp,"product-rte-fully cooked, sausage product",food product
epa_nrp,"product-rte-other fully cooked, not sliced",food product
epa_nrp,"product-thermally processed, commercially sterile",food product
ctd,infant formula,food product
ctd,"fruit, canned",food product
ctd,"fruit, packaged",food product
ctd,"meat, canned",food product
ctd,"vegetables, canned",food product
ctd,"vegetables, packaged",food product
ctd,"beverage, caffeinated",food product
ctd,"tea, black",food product
ctd,"beverage, alcoholic",food product
ctd,baking soda,food product
ctd,butter,food product
ctd,"egg, chicken",food product
ctd,margarine,food product
ctd,ice cream,food product
ctd,"meat, pork",food product
ctd,"meat, bacon",food product
ctd,"meat, beef",food product
ctd,"meat, poultry",food product
ctd,"meat, processed",food product
ctd,cheese,food product
ctd,"milk, evaporated",food product
ctd,"milk, nonfat",food product
ctd,"milk, cow",food product
ctd,"meat, ground turkey",food product
ctd,"cheese, cottage",food product
ctd,"meat, beef tenderloin",food product
ctd,shrimp,food product
ctd,"meat, pork sausage",food product
ctd,"meat, ground chicken",food product
ctd,"meat, wiener",food product
ctd,"meat, ground lamb",food product
ctd,"cheese, cream",food product
ctd,"cheese, american",food product
ctd,"cheese, gouda",food product
ctd,"meat, duck",food product
ctd,"meat, ground pork",food product
ctd,"meat, ground beef",food product
ctd,dairy products,food product
ctd,meat,food product
ctd,"meat, calf liver",food product
ctd,"meat, chicken liver",food product
ctd,"milk, goat",food product
ctd,"tuna, canned",food product
ctd,"yogurt, lowfat",food product
ctd,milk,food product
ctd,"salmon, canned",food product
ctd,"tuna, canned albacore",food product
ctd,"tuna, canned light",food product
ctd,"tuna, canned white",food product
ctd,seafood,food product
ctd,tea,food product
ctd,"tea, brick",food product
ctd,turkey,food product
ctd,"food, inorganic",food product
chem_theatre,ground water,groundwater
ctd,"water, well",groundwater
ctd,abdominal muscles,human (other tissues or fluids)
ctd,adipose tissue,human (other tissues or fluids)
ctd,amniotic fluid,human (other tissues or fluids)
ctd,bone and bones,human (other tissues or fluids)
ctd,"cells, urothelial, exfoliated",human (other tissues or fluids)
ctd,colostrum,human (other tissues or fluids)
ctd,femur head,human (other tissues or fluids)
ctd,follicular fluid,human (other tissues or fluids)
ctd,frontal lobe,human (other tissues or fluids)
ctd,hair,human (other tissues or fluids)
ctd,kidney,human (other tissues or fluids)
ctd,lung,human (other tissues or fluids)
ctd,lymphocytes,human (other tissues or fluids)
ctd,"nail, finger",human (other tissues or fluids)
ctd,nails,human (other tissues or fluids)
ctd,"nails, finger",human (other tissues or fluids)
ctd,"nails, toe",human (other tissues or fluids)
ctd,occipital lobe,human (other tissues or fluids)
ctd,patella,human (other tissues or fluids)
ctd,pituitary gland,human (other tissues or fluids)
ctd,placenta,human (other tissues or fluids)
ctd,saliva,human (other tissues or fluids)
ctd,semen,human (other tissues or fluids)
ctd,sputum,human (other tissues or fluids)
ctd,sweat,human (other tissues or fluids)
ctd,thyroid gland,human (other tissues or fluids)
ctd,tibia,human (other tissues or fluids)
ctd,tooth,human (other tissues or fluids)
ctd,umbilical cord,human (other tissues or fluids)
ctd,urinary bladder,human (other tissues or fluids)
ctd,ventricular fluid,human (other tissues or fluids)
ctd,meconium,human (other tissues or fluids)
ctd,adenoid,human (other tissues or fluids)
ctd,"subcutaneous fat, abdominal",human (other tissues or fluids)
ctd,tear,human (other tissues or fluids)
ctd,bone,human (other tissues or fluids)
ctd,abdominal muscle,human (other tissues or fluids)
ctd,nail,human (other tissues or fluids)
ctd,"nail, toe",human (other tissues or fluids)
ctd,"cell, urothelial, exfoliated",human (other tissues or fluids)
ctd,erythrocyte,human blood (whole/serum/plasma)
ctd,blood cell,human blood (whole/serum/plasma)
ctd,brain,human blood (whole/serum/plasma)
ctd,"blood, cord",human blood (whole/serum/plasma)
ctd,"serum, cord",human blood (whole/serum/plasma)
ctd,"plasma, cord",human blood (whole/serum/plasma)
nhanes,plasma,human blood (whole/serum/plasma)
nhanes,blood,human blood (whole/serum/plasma)
nhanes,serum,human blood (whole/serum/plasma)
ctd,blood,human blood (whole/serum/plasma)
ctd,"blood, fetal",human blood (whole/serum/plasma)
ctd,erythrocytes,human blood (whole/serum/plasma)
ctd,fetal blood,human blood (whole/serum/plasma)
ctd,plasma,human blood (whole/serum/plasma)
ctd,plasma,human blood (whole/serum/plasma)
ctd,"plasma, umbilical cord",human blood (whole/serum/plasma)
ctd,sera,human blood (whole/serum/plasma)
ctd,"sera, umbilical cord",human blood (whole/serum/plasma)
ctd,serum,human blood (whole/serum/plasma)
ctd,"air, indoor",indoor air
ctd,dust,indoor dust
ctd,"dust, house",indoor dust
ctd,"dust, indoor",indoor dust
ctd,"floor, bedroom",indoor dust
ctd,"floor, kitchen",indoor dust
ctd,"dust, carpet",indoor dust
chem_theatre,plants,other-ecological
usgs_tissue,animalia,other-ecological
usgs_tissue,stizostedion canadense***retired***use sander canadensis,other-ecological
usgs_tissue,taxon unknown,other-ecological
ip_chem_biota,unknow spp.,other-ecological
ip_chem_biota,venerupis decussata,other-ecological
ip_chem_biota,fucus vesiculosus,other-ecological
ip_chem_biota,fucus,other-ecological
ip_chem_biota,fucus serratus,other-ecological
ip_chem_biota,fucus ceranoides,other-ecological
nhanes,air,personal air
ctd,"air, breath",personal air
ctd,"air, breath, exhaled",personal air
ctd,"air, personal",personal air
ctd,breath,personal air
ctd,automobiles,product
ctd,living room upholstery,product
ctd,sunscreen composite,product
ctd,bar soap,product
ctd,body lotion,product
ctd,body wash,product
ctd,carpet cleaner,product
ctd,cat litter,product
ctd,conditioner,product
ctd,deodorant,product
ctd,dish liquid,product
ctd,fabric refresher,product
ctd,facial cleanser,product
ctd,fragrance or perfume,product
ctd,hand soap,product
ctd,laundry detergent,product
ctd,shampoo,product
ctd,sunscreen,product
ctd,surface cleaner,product
ctd,paper,product
ctd,dishwasher detergent,product
ctd,nail polish,product
ctd,toilet bowl cleaner,product
ctd,car interior cleaner,product
ctd,cigarette,product
ctd,fuel,product
ctd,dye,product
ctd,perfume,product
ctd,polish or wax,product
ctd,mascara,product
ctd,"air freshener, car",product
ctd,hand sanitizer,product
ctd,foundation,product
ctd,lip balm,product
ctd,stain remover,product
ctd,carpet,product
ctd,"upholstery, living room",product
ctd,glass cleaner,product
ctd,polyurethane foam,product
ctd,insecticide,product
ctd,paint,product
ctd,child safety seat,product
ctd,hair gel,product
ctd,scrubbing powder,product
ctd,incense stick,product
ctd,e-liquid,product
ctd,product wipe,product
ctd,e-cigarette,product
ctd,e-cigarette vapor,product
ctd,air freshener,product
ctd,borax,product
ctd,diaper,product
ctd,dryer sheet,product
ctd,facial lotion,product
ctd,floor cleaner,product
ctd,hair spray or mousse or gel,product
ctd,laundry bleach,product
ctd,lipstick,product
ctd,pillow protector,product
ctd,shaving cream,product
ctd,"shower curtain, vinyl",product
ctd,toothpaste,product
ctd,tub and tile cleaner,product
ctd,wet mop,product
ctd,ore,product
chem_theatre,freshwater sediment,sediment
chem_theatre,marine sediment,sediment
ctd,sediment,sediment
ctd,back,skin wipes
ctd,body regions,skin wipes
ctd,chest,skin wipes
ctd,"forearm, left",skin wipes
ctd,"forearm, right",skin wipes
ctd,hand,skin wipes
ctd,handwipes,skin wipes
ctd,"leg, lower, left",skin wipes
ctd,"leg, lower, right",skin wipes
ctd,"shoulder, left",skin wipes
ctd,"shoulder, right",skin wipes
ctd,skin,skin wipes
ctd,"thigh, left",skin wipes
ctd,"thigh, right",skin wipes
ctd,handwipe,skin wipes
ctd,body region,skin wipes
chem_theatre,soil,"soil, or outdoor settled dust"
ctd,sand,"soil, or outdoor settled dust"
ctd,soil,"soil, or outdoor settled dust"
ctd,"dust, outdoor","soil, or outdoor settled dust"
chem_theatre,freshwater,surface water
chem_theatre,seawater,surface water
chem_theatre,ss,surface water
ctd,water,surface water
ctd,water,surface water
ctd,"water, rain",surface water
ctd,"water, sea",surface water
ctd,snow,surface water
ctd,house,unknown
ctd,automobile,unknown
ctd,macrophage,unknown
nhanes,urine,urine
ctd,urine,urine
ctd,urine,urine
ctd,produce,vegetation
usgs_tissue,alnus,vegetation
usgs_tissue,artemisia tridentata,vegetation
usgs_tissue,elodea,vegetation
usgs_tissue,elodea canadensis,vegetation
usgs_tissue,lysichiton americanus,vegetation
usgs_tissue,magnoliopsida,vegetation
usgs_tissue,malus,vegetation
usgs_tissue,plantae,vegetation
usgs_tissue,populus,vegetation
usgs_tissue,potamogeton,vegetation
usgs_tissue,potamogeton crispus,vegetation
usgs_tissue,potamogeton pectinatus,vegetation
usgs_tissue,rubus spectabilis,vegetation
usgs_tissue,salicornia depressa,vegetation
usgs_tissue,vaccinium,vegetation
usgs_tissue,vaccinium parvifolium,vegetation
ices_biota,fucus,vegetation
ices_biota,fucus ceranoides,vegetation
ices_biota,fucus serratus,vegetation
ices_biota,fucus vesiculosus,vegetation
fda,"apple (red), raw (w/ peel)",vegetation
fda,"asparagus, fresh/frozen, boiled",vegetation
fda,"avocado, raw",vegetation
fda,"banana, raw",vegetation
fda,"broccoli, fresh/frozen, boiled",vegetation
fda,"brussels sprouts, fresh/frozen, boiled",vegetation
fda,"cabbage, fresh, boiled",vegetation
fda,"cantaloupe, raw/frozen",vegetation
fda,"carrot, baby, raw",vegetation
fda,"carrot, fresh, peeled, boiled",vegetation
fda,"cauliflower, fresh/frozen, boiled",vegetation
fda,"celery, raw",vegetation
fda,"collards, fresh/frozen, boiled",vegetation
fda,"corn, fresh/frozen, boiled",vegetation
fda,"cucumber, peeled, raw",vegetation
fda,"eggplant, fresh, peeled, boiled",vegetation
fda,"grapefruit, raw",vegetation
fda,"grapes (red/green), raw",vegetation
fda,"green beans, fresh/frozen, boiled",vegetation
fda,"lettuce, iceberg, raw",vegetation
fda,"lettuce, iceburg, raw",vegetation
fda,"lettuce, leaf, raw",vegetation
fda,"lima beans, immature, frozen, boiled",vegetation
fda,"milk, chocolate, lowfat, fluid",vegetation
fda,"milk, lowfat (2%), fluid",vegetation
fda,"milk, skim, fluid",vegetation
fda,"milk, whole, fluid",vegetation
fda,"mixed vegetables, frozen, boiled",vegetation
fda,"mushrooms, raw",vegetation
fda,"okra, fresh/frozen, boiled",vegetation
fda,"onion, mature, raw",vegetation
fda,"orange (navel/valencia), raw",vegetation
fda,"peach, raw/frozen",vegetation
