mediaid,name,harmonized_media,reported_media,reported_species
1503,usgs,ambient air,air,NA
1536,usgs,ambient air,ambient air,NA
1879,usgs,ambient air,indoor air,NA
2230,epa_ucmr,drinking water,drinking water,NA
1120,usgs,drinking water,deionized water,NA
1010,usgs,drinking water,drinking water,NA
1670,usgs,drinking water,finished water,NA
1839,usgs,drinking water,untreated water supply,NA
28,fda_tds_elem,food product,"chicken filet (broiled) sandwich on bun, fast-food",NA
33,fda_tds_elem,food product,"chicken w/ vegetables in sauce, from chinese carry-out",NA
37,fda_tds_elem,food product,"clam chowder, new england, canned, cond, prep w/ whl milk",NA
62,fda_tds_elem,food product,"doughnut, cake-type, any flavor, from donut store",NA
63,fda_tds_elem,food product,"egg, cheese, and ham on english muffin, fast-food",NA
77,fda_tds_elem,food product,"fruit juice blend (100% juice), canned/bottled",NA
151,fda_tds_elem,food product,"pizza, cheese and pepperoni, regular crust, from pizza carry-out",NA
162,fda_tds_elem,food product,"potato salad, mayonnaise-type, from grocery/deli",NA
170,fda_tds_elem,food product,"pudding, ready-to-eat, flavor other than chocolate",NA
178,fda_tds_elem,food product,"salad dressing, creamy/buttermilk type, low-calorie",NA
179,fda_tds_elem,food product,"salad dressing, creamy/buttermilk type, regular",NA
188,fda_tds_elem,food product,"soup, oriental noodles (ramen noodles), prep w/ water",NA
189,fda_tds_elem,food product,"soup, bean w/ bacon/pork, canned, cond, prep w/ water",NA
190,fda_tds_elem,food product,"soup, chicken noodle, canned, cond, prep w/ water",NA
193,fda_tds_elem,food product,"soup, vegetable beef, canned, cond, prep w/ water",NA
199,fda_tds_elem,food product,"squash, winter (hubbard or acorn), fresh/frozen, boiled",NA
200,fda_tds_elem,food product,"squash, winter (hubbard/acorn), fresh/frozen, boiled",NA
214,fda_tds_elem,food product,"taco/tostada w/ beef and cheese, from mexican carry-out",NA
2239,fda_tds_elem,food product,"bf, infant formula, milk-based, high iron, rtf",NA
2240,fda_tds_elem,food product,"bf, infant formula, milk-based, iron fortified, rtf",NA
2310,fda_tds_elem,food product,"beef w/ vegetables in sauce, from chinese carry-out",NA
2317,fda_tds_elem,food product,"bottled drinking water (mineral/spring), not carbonated or flavored",NA
2329,fda_tds_elem,food product,"burrito w/ beef, beans and cheese, from mexican carry-out",NA
241,fda_tds_pest,food product,"bf, infant formula, milk-based, high iron, rtf",NA
309,fda_tds_pest,food product,"beef w/ vegetables in sauce, from chinese carry-out",NA
317,fda_tds_pest,food product,"bottled drinking water (mineral/spring), not carbonated or flavored",NA
328,fda_tds_pest,food product,"burrito w/ beef, beans and cheese, from mexican carry-out",NA
355,fda_tds_pest,food product,"chicken filet (broiled) sandwich on bun, fast-food",NA
362,fda_tds_pest,food product,"chicken w/ vegetables in sauce, from chinese carry-out",NA
365,fda_tds_pest,food product,"clam chowder, new england, canned, cond, prep w/ whl milk",NA
392,fda_tds_pest,food product,"doughnut, cake-type, any flavor, from donut store",NA
393,fda_tds_pest,food product,"egg, cheese, and ham on english muffin, fast-food",NA
407,fda_tds_pest,food product,"fruit juice blend (100% juice), canned/bottled",NA
481,fda_tds_pest,food product,"pizza, cheese and pepperoni, regular crust, from pizza carry-out",NA
492,fda_tds_pest,food product,"potato salad, mayonnaise-type, from grocery/deli",NA
499,fda_tds_pest,food product,"pudding, ready-to-eat, flavor other than chocolate",NA
508,fda_tds_pest,food product,"salad dressing, creamy/buttermilk type, low-calorie",NA
509,fda_tds_pest,food product,"salad dressing, creamy/buttermilk type, regular",NA
517,fda_tds_pest,food product,"soup, oriental noodles (ramen noodles), prep w/ water",NA
518,fda_tds_pest,food product,"soup, bean w/ bacon/pork, canned, cond, prep w/ water",NA
519,fda_tds_pest,food product,"soup, chicken noodle, canned, cond, prep w/ water",NA
521,fda_tds_pest,food product,"soup, vegetable beef, canned, cond, prep w/ water",NA
528,fda_tds_pest,food product,"squash, winter (hubbard or acorn), fresh/frozen, boiled",NA
529,fda_tds_pest,food product,"squash, winter (hubbard/acorn), fresh/frozen, boiled",NA
542,fda_tds_pest,food product,"taco/tostada w/ beef and cheese, from mexican carry-out",NA
1525,usgs,groundwater,groundwater,NA
1722,usgs,landfill leachate,landfill effluent,NA
