mediaid,name,harmonized_media,reported_media,reported_species
1736,ip_chem_biota,NA,li,NA
1737,ip_chem_biota,NA,mu,NA
1738,ip_chem_biota,NA,li,NA
1739,ip_chem_biota,NA,mu,NA
1740,ip_chem_biota,NA,wo,NA
1742,ip_chem_biota,NA,mu,NA
1743,ip_chem_biota,NA,wo,NA
1744,ip_chem_biota,NA,mu,NA
1745,ip_chem_biota,NA,mu,NA
1746,ip_chem_biota,NA,li,NA
1747,ip_chem_biota,NA,li,NA
1748,ip_chem_biota,NA,li,NA
1749,ip_chem_biota,NA,wo,NA
1751,ip_chem_biota,NA,mu,NA
1752,ip_chem_biota,NA,li,NA
1753,ip_chem_biota,NA,mu,NA
1754,ip_chem_biota,NA,li,NA
1757,ip_chem_biota,NA,mu,NA
1764,ip_chem_biota,NA,wo,NA
1765,ip_chem_biota,NA,wo,NA
1766,ip_chem_biota,NA,wo,NA
1767,ip_chem_biota,NA,wo,NA
1769,ip_chem_biota,NA,wo,NA
1770,ip_chem_biota,NA,wo,NA
1771,ip_chem_biota,NA,wo,NA
1772,ip_chem_biota,NA,wo,NA
1773,ip_chem_biota,NA,wo,NA
1776,ip_chem_biota,NA,tm,NA
1777,ip_chem_biota,NA,tm,NA
1778,ip_chem_biota,NA,mu,NA
1780,ip_chem_biota,NA,li,NA
1781,ip_chem_biota,NA,mu,NA
1783,ip_chem_biota,NA,ro,NA
1784,ip_chem_biota,NA,mu,NA
1785,ip_chem_biota,NA,li,NA
1786,ip_chem_biota,NA,li,NA
1787,ip_chem_biota,NA,mu,NA
1789,ip_chem_biota,NA,go,NA
1790,ip_chem_biota,NA,li,NA
1791,ip_chem_biota,NA,mu,NA
1792,ip_chem_biota,NA,mu,NA
1793,ip_chem_biota,NA,li,NA
1794,ip_chem_biota,NA,mu,NA
1795,ip_chem_biota,NA,li,NA
1796,ip_chem_biota,NA,wo,NA
1797,ip_chem_biota,NA,mu,NA
1799,ip_chem_biota,NA,mu,NA
1800,ip_chem_biota,NA,mu,NA
1801,ip_chem_biota,NA,li,NA
1802,ip_chem_biota,NA,li,NA
1804,ip_chem_biota,NA,tm,NA
1805,ip_chem_biota,NA,mu,NA
1807,ip_chem_biota,NA,tm,NA
1809,ip_chem_biota,NA,wo,NA
1810,ip_chem_biota,NA,li,NA
1811,ip_chem_biota,NA,go,NA
1812,ip_chem_biota,NA,mu,NA
1813,ip_chem_biota,NA,wo,NA
1814,ip_chem_biota,NA,mu,NA
1815,ip_chem_biota,NA,li,NA
1817,ip_chem_biota,NA,tm,NA
1818,ip_chem_biota,NA,mu,NA
1819,ip_chem_biota,NA,fe,NA
1820,ip_chem_biota,NA,li,NA
1821,ip_chem_biota,NA,mu,NA
1822,ip_chem_biota,NA,li,NA
1823,ip_chem_biota,NA,mu,NA
1824,ip_chem_biota,NA,ki,NA
1825,ip_chem_biota,NA,mu,NA
1826,ip_chem_biota,NA,li,NA
1827,ip_chem_biota,NA,li,NA
1828,ip_chem_biota,NA,fa,NA
1829,ip_chem_biota,NA,mu,NA
1830,ip_chem_biota,NA,bb,NA
1831,ip_chem_biota,NA,li,NA
1832,ip_chem_biota,NA,bb,NA
1833,ip_chem_biota,NA,li,NA
1835,ip_chem_biota,NA,eg,NA
1837,ip_chem_biota,NA,bb,NA
1839,ip_chem_biota,NA,mu,NA
1840,ip_chem_biota,NA,li,NA
1841,ip_chem_biota,NA,mu,NA
1842,ip_chem_biota,NA,mu,NA
1843,ip_chem_biota,NA,mu,NA
1844,ip_chem_biota,NA,mu,NA
1845,ip_chem_biota,NA,mu,NA
1846,ip_chem_biota,NA,mu,NA
1847,ip_chem_biota,NA,mu,NA
1848,ip_chem_biota,NA,mu,NA
1849,ip_chem_biota,NA,mu,NA
1850,ip_chem_biota,NA,mu,NA
1851,ip_chem_biota,NA,mu,NA
1852,ip_chem_biota,NA,mu,NA
1853,ip_chem_biota,NA,gi,NA
1854,ip_chem_biota,NA,bl,NA
1855,ip_chem_biota,NA,bb,NA
1856,ip_chem_biota,NA,li,NA
1857,ip_chem_biota,NA,eg,NA
1858,ip_chem_biota,NA,sh,NA
1859,ip_chem_biota,NA,mu,NA
1860,ip_chem_biota,NA,mu,NA
1861,ip_chem_biota,NA,li,NA
1862,ip_chem_biota,NA,mu,NA
1863,ip_chem_biota,NA,li,NA
1864,ip_chem_biota,NA,fa,NA
1865,ip_chem_biota,NA,li,NA
1867,ip_chem_biota,NA,li,NA
1868,ip_chem_biota,NA,mu,NA
1869,ip_chem_biota,NA,mu,NA
1870,ip_chem_biota,NA,mu,NA
1871,ip_chem_biota,NA,bb,NA
1872,ip_chem_biota,NA,ki,NA
1873,ip_chem_biota,NA,li,NA
1874,ip_chem_biota,NA,mu,NA
1875,ip_chem_biota,NA,mu,NA
1876,ip_chem_biota,NA,mu,NA
1877,ip_chem_biota,NA,eh,NA
1878,ip_chem_biota,NA,eg,NA
1879,ip_chem_biota,NA,li,NA
1880,ip_chem_biota,NA,mu,NA
1881,ip_chem_biota,NA,go,NA
1882,ip_chem_biota,NA,li,NA
1883,ip_chem_biota,NA,mu,NA
1884,ip_chem_biota,NA,mu,NA
1885,ip_chem_biota,NA,tm,NA
1886,ip_chem_biota,NA,gi,NA
1887,ip_chem_biota,NA,go,NA
1888,ip_chem_biota,NA,li,NA
1889,ip_chem_biota,NA,mu,NA
1890,ip_chem_biota,NA,li,NA
1891,ip_chem_biota,NA,go,NA
1892,ip_chem_biota,NA,wo,NA
1893,ip_chem_biota,NA,mu,NA
1894,ip_chem_biota,NA,mu,NA
1895,ip_chem_biota,NA,mu,NA
1896,ip_chem_biota,NA,li,NA
1897,ip_chem_biota,NA,li,NA
1898,ip_chem_biota,NA,mu,NA
1899,ip_chem_biota,NA,li,NA
1900,ip_chem_biota,NA,mu,NA
1901,ip_chem_biota,NA,bb,NA
1902,ip_chem_biota,NA,fa,NA
1903,ip_chem_biota,NA,li,NA
1904,ip_chem_biota,NA,wo,NA
1905,ip_chem_biota,NA,mu,NA
1906,ip_chem_biota,NA,fa,NA
1907,ip_chem_biota,NA,li,NA
1908,ip_chem_biota,NA,li,NA
1909,ip_chem_biota,NA,mu,NA
1910,ip_chem_biota,NA,go,NA
1911,ip_chem_biota,NA,li,NA
1912,ip_chem_biota,NA,wo,NA
1914,ip_chem_biota,NA,li,NA
1915,ip_chem_biota,NA,bb,NA
1916,ip_chem_biota,NA,mu,NA
1917,ip_chem_biota,NA,li,NA
1918,ip_chem_biota,NA,bc,NA
1919,ip_chem_biota,NA,bs,NA
1920,ip_chem_biota,NA,mu,NA
1921,ip_chem_biota,NA,ki,NA
1922,ip_chem_biota,NA,li,NA
1923,ip_chem_biota,NA,mu,NA
1924,ip_chem_biota,NA,wo,NA
1925,ip_chem_biota,NA,li,NA
1926,ip_chem_biota,NA,mu,NA
1927,ip_chem_biota,NA,mu,NA
1928,ip_chem_biota,NA,br,NA
1929,ip_chem_biota,NA,ki,NA
